mark,Smoothed_Filtered_right_TA,Smoothed_Filtered_right_RF,Smoothed_Filtered_right_VM,Smoothed_Filtered_right_MG,Smoothed_Filtered_left_TA,Smoothed_Filtered_left_RF,Smoothed_Filtered_left_VM,Smoothed_Filtered_left_MG
0,-0.0013618476352604,-0.052057715648158,-8.962454710445895,0.074404411859782,0.0805264295172812,-0.0126317685220591,0.0029931207918531,0.0308799876845414
0,0.0006794319937231,-0.0427454665202246,-7.621006773776102,0.0040497152152241,0.0462271276431248,-0.0138155883735473,0.0102571120603209,0.0203398527772685
0,0.0015899894932823,-0.0349828687895386,-5.885779460413733,-0.0603095504442237,0.024957939219574,-0.0107923617407436,0.0180008565242148,0.0147012585834052
0,0.0008606806329932,-0.0356247529926399,-5.677465396820742,-0.0996445891967262,0.0149300039469844,-0.0105709712709772,0.0176969872804332,0.0102326145654687
0,-0.0050370093937923,-0.0282458196367151,-4.313557670747657,-0.1237229063525284,-0.017996086153184,-0.0142685817340239,0.0170785579056531,-0.0033871681678032
0,-0.0092072435300419,-0.0138752054515585,-4.832746163454926,-0.1392449387141156,-0.0196713521422786,-0.0153158673689286,0.0145647222641991,-0.0098750488101933
0,-0.0113905015401708,-0.0009215037410286,-3.675169173749742,-0.171720732077271,-0.0374758538103126,-0.0243914725383844,0.006818353468947,-0.0118748829661084
0,-0.0137784583183811,0.0031086058338313,-4.335112639659155,-0.2005548986749074,-0.0512944932255516,-0.025631911746587,-0.0034663847724524,-0.0154774949173721
0,-0.0144871908122154,-0.0010585267490353,-3.4326143132602884,-0.2275563785230878,-0.0384050396395992,-0.0106910170518132,-0.0114552969831518,-0.0310554529665801
0,-0.0173978256024109,-0.004213815667447,-3.6397317349809097,-0.2426873425013952,-0.044470121859482,0.0050575822510182,-0.0130876466336927,-0.0714171241375656
0,-0.0135099986110626,0.0031875998087679,-3.4357206608681863,-0.2212003185868366,-0.0526492581132551,0.0329480818149923,-0.008353974656695,-0.0878132100636607
0,-0.0077495134563218,0.0143044873102759,-2.9617721041204046,-0.1675704432892731,-0.0757197641336462,0.0668139257323504,-0.0031273465206059,-0.0603676701932685
0,0.0076057469748954,0.0240996245428965,-3.9687553289084834,-0.1059322656342814,-0.1494609184295745,0.0656651849356374,0.0022492389551529,-0.0402985062985315
0,0.0255827460825926,0.0410893075799804,-2.356514068831651,-0.049367365953228,-0.2161626802900745,0.0418217657533211,0.0053954465113337,-0.0397358056416801
