RMS_Smoothed_Filtered_right_TA,RMS_Smoothed_Filtered_right_RF,RMS_Smoothed_Filtered_right_VM,RMS_Smoothed_Filtered_right_MG,RMS_Smoothed_Filtered_left_TA,RMS_Smoothed_Filtered_left_RF,RMS_Smoothed_Filtered_left_VM,RMS_Smoothed_Filtered_left_MG,MAV_mark,MAV_Smoothed_Filtered_right_TA,MAV_Smoothed_Filtered_right_RF,MAV_Smoothed_Filtered_right_VM,MAV_Smoothed_Filtered_right_MG,MAV_Smoothed_Filtered_left_TA,MAV_Smoothed_Filtered_left_RF,MAV_Smoothed_Filtered_left_VM,MAV_Smoothed_Filtered_left_MG,WL_mark,WL_Smoothed_Filtered_right_TA,WL_Smoothed_Filtered_right_RF,WL_Smoothed_Filtered_right_VM,WL_Smoothed_Filtered_right_MG,WL_Smoothed_Filtered_left_TA,WL_Smoothed_Filtered_left_RF,WL_Smoothed_Filtered_left_VM,WL_Smoothed_Filtered_left_MG,MNF_mark,MNF_Smoothed_Filtered_right_TA,MNF_Smoothed_Filtered_right_RF,MNF_Smoothed_Filtered_right_VM,MNF_Smoothed_Filtered_right_MG,MNF_Smoothed_Filtered_left_TA,MNF_Smoothed_Filtered_left_RF,MNF_Smoothed_Filtered_left_VM,MNF_Smoothed_Filtered_left_MG
0.4992237052295186,0.5033311456131663,0.5021211546678384,0.4983358589679501,0.5228286217625666,0.5005309179422265,0.5652773849113163,0.5390181222848665,0.0,0.0665573194866614,0.0235351291133878,0.003524955040551,0.0408595371089941,0.0208338298660724,0.005665030625788,1.0459993289562162,0.2859407600363141,0.0,0.2498512525409651,2.138811473512506,1.2050351284612502,0.2775360490620566,0.3970184514240676,1.1380866447159894,4.233937897959903,14.9915457042309,,77.66524562199244,41.1747587077867,48.495081868448736,58.4614204009896,63.28201914005062,51.73532175086993,16.62526622827361,54.41157544588307
0.4992359360243271,0.5025994459067537,0.502148739669319,0.4986634379315792,0.5229876405190956,0.5005193801032246,0.5892218716610209,0.5258385318309031,0.0,0.0915046532376037,0.0154958104096824,0.003273667727578,0.0560224486492257,0.0220691039431618,0.0060812835436766,2.3406910703370087,0.2485873071477352,0.0,0.3267492081048404,1.7264304999549345,1.227041816828617,0.322541783230569,0.4531918849338223,1.013100334509631,7.313854759265382,13.249062559056323,,68.0160912849294,50.14561828090301,66.72193853799003,39.74552778698684,70.67199751215092,45.21962682822289,26.04750798021725,62.36372349330929
0.4991788552626697,0.4999237814442235,0.501124711499894,0.498697043341216,0.5229474029776372,0.5010281060925463,0.5904095856912959,0.5220128455170716,0.0,0.1319318730642331,0.013039676066591,0.0028284809339744,0.0664032022575897,0.0209651552416827,0.0056749956065356,3.126111828514557,0.1939889771389461,0.0,0.4318903438648631,1.6491850727138373,1.2490725693567086,0.4027775600267547,0.4646683319977661,0.9146347301308264,11.469469437311018,12.079802540102818,,60.5367518629503,46.50909641784156,59.14207036870368,38.15190138108949,75.21025954887051,38.41024621424605,25.942663405801863,57.69887953231096
0.4993328826671361,0.5011982522086997,0.5025366181685603,0.4990815356310313,0.5233810631652892,0.4999938761625934,0.5538647363340571,0.5166804771569574,0.0,0.1942858501794908,0.0121675931712775,0.0034632140878096,0.0666508637133449,0.029420792739313,0.0090566823658385,2.661316981380149,0.1825984994975137,0.0,0.6113343736448119,1.703958843957127,1.3205754147611932,0.3679438281118039,0.6230368501238196,1.216169706109286,9.284946350588363,10.79048080803528,,60.12156383893437,48.26519771205288,54.18424804295863,53.61951150704257,81.394798307623,41.22551818502411,31.26630927165292,81.98348199052705
0.4990426587220676,0.5020887695206006,0.5057380907536971,0.4986731725068861,0.5229903678990501,0.5031903742669198,0.5469665858044086,0.5090368752934948,0.0,0.3357291340769917,0.013612680836324,0.007860411161967,0.0447931553099402,0.0328199841600092,0.0150279724763818,1.4773907304227878,0.127190339130138,0.0,1.0054500139537987,2.009035775513244,2.6132979760161152,0.3000850665170087,0.672575137147126,2.0642512953662333,5.745720348752992,8.734208949702623,,59.286090561541926,72.07467030905751,50.85350413368743,39.71743116771916,70.52265754644068,38.7082162957779,24.043716275276275,63.285918798595695
0.5258903343501532,0.5038993942274781,0.5049737101835455,0.4981261151869778,0.5230324832785896,0.5033179798849167,0.5098917202229925,0.5104427497872981,0.0,1.4505365853604426,0.0226016028429096,0.0136436916208735,0.0477978569499634,0.0356738491922906,0.0165731425338077,0.4613287647700817,0.1098198381280517,0.0,3.797039651879266,3.268533118396244,4.438994674552449,0.2579880136759709,0.662025137482132,2.122226837818052,1.6167061254178727,7.086264715901755,,35.050397134677226,55.36581455406794,47.01326115996565,48.40064226054392,73.71993277198047,42.88911850173495,28.455388103781942,63.66445989092179
0.5190371003793917,0.5036528232111297,0.5084481365629804,0.4986752504044862,0.5226295590971757,0.5077130655025492,0.4945270801977953,0.5042222720813699,0.0,2.6762729235819496,0.0286132676910918,0.017844156572028,0.0719761584742883,0.0318623244185225,0.0300074526704156,0.2384855184114064,0.0672467901870891,0.0,6.6267075695012805,3.771553882462926,5.333966495719291,0.4074857918565465,0.5900994593631328,3.972142028759409,1.039211258063407,4.308863466816068,,41.522354329139006,48.730890509511234,49.495589662301,39.03480109676482,63.12798164851087,38.76718752443474,32.76213812058415,98.5331238074458
0.517643599899341,0.5046082895973145,0.5069618134140006,0.4986080257957857,0.5229155525042157,0.5074268057191665,0.4954949433828423,0.5024490368627997,0.0,2.6914786584938657,0.0319326026411366,0.0160379600205463,0.0876469689428233,0.0364979034704754,0.0263755406957593,0.2343455574020689,0.030258334571336,0.0,6.65306801210843,3.751098104224978,4.819708106331072,0.6297688007694398,0.6575796299637664,3.394339390732627,1.007375297652905,1.4626393054772877,,40.27720174651749,46.01410099061028,44.55577228329896,36.621482964517824,80.37488245220676,42.117647472477856,31.836333368935755,63.75210604311901
0.5076937223960181,0.5029094147846324,0.5084715890924939,0.4986889914808177,0.5230034243301351,0.5073105463793587,0.494233698831206,0.513248492524148,0.0,1.9516282987893987,0.0237157579627416,0.0128927740864343,0.0921145007169509,0.0406247252334745,0.0304927070056532,0.1396072930119654,0.1144561328240292,0.0,4.20998563099517,2.9060912297183354,4.257515534561195,0.7224728164138585,0.6975558550909214,4.618491629097575,0.6518576255222644,2.87103609745192,,38.42350065884516,37.28565942923684,51.544915129409446,55.749338604317785,61.75939302671848,41.58596699746953,37.876351967989486,29.459469037624444
0.5022305800562369,0.5018930556596655,0.5010045834837364,0.4985337531324462,0.5229622752005804,0.4989166459230677,0.4948468153548263,0.5131116920123703,0.0,0.4221872185147257,0.0121110545512533,0.007199246384108,0.0736823658790908,0.0425072802424579,0.028707472297323,0.0970422167959793,0.1247991178527492,0.0,1.108918299580251,1.3688484216121846,2.92990434575822,0.7969127665600773,0.6933034073939442,3.881668607391135,0.4961400577839996,3.176122915186024,,53.57722485887768,48.95571643453753,68.04970241408316,60.06760807290157,64.18890898383582,50.57131329577352,36.80623436517504,30.93706259399882
