SSC_mark,SSC_Smoothed_Filtered_right_TA,SSC_Smoothed_Filtered_right_RF,SSC_Smoothed_Filtered_right_VM,SSC_Smoothed_Filtered_right_MG,SSC_Smoothed_Filtered_left_TA,SSC_Smoothed_Filtered_left_RF,SSC_Smoothed_Filtered_left_VM,SSC_Smoothed_Filtered_left_MG
0,74,34,27,34,65,49,36,64
0,76,41,21,32,63,44,27,72
0,78,45,26,30,51,37,23,78
0,69,48,33,34,36,34,28,78
0,68,49,45,40,28,27,29,71
0,68,45,54,41,36,23,27,57
0,77,37,55,46,43,29,27,48
0,87,32,51,45,57,37,33,45
0,94,38,52,45,65,39,50,50
0,90,37,47,41,70,39,51,53
0,76,34,49,49,68,33,51,53
0,71,31,41,51,61,48,46,49
0,75,30,33,46,56,43,52,51
0,69,44,35,38,62,42,50,50
0,81,46,43,25,52,27,45,48
0,73,51,46,22,47,28,35,57
0,77,46,43,25,35,26,34,56
0,82,44,47,30,34,27,35,66
0,85,46,44,39,33,26,34,69
0,90,49,49,42,45,30,38,63
0,82,55,50,44,47,34,39,51
0,75,47,38,42,55,40,36,38
0,63,41,35,45,54,35,37,23
0,51,34,35,52,51,35,36,27
0,57,26,36,58,52,37,40,33
0,64,23,40,51,66,43,42,45
0,73,25,35,48,67,36,40,49
0,77,38,35,39,68,37,49,45
0,77,41,37,31,53,27,46,35
0,76,38,40,28,43,29,39,34
0,70,41,44,29,33,33,31,47
0,72,36,52,29,32,37,23,65
0,73,50,55,31,33,42,24,75
0,76,48,53,29,52,36,32,72
0,80,46,54,38,59,37,39,58
0,77,41,53,48,76,39,39,51
0,80,33,53,57,77,34,43,53
0,81,33,47,55,79,31,41,52
0,77,29,50,49,70,27,40,53
0,69,32,47,35,68,35,38,43
0,68,31,49,34,61,36,49,41
0,76,31,45,35,70,36,53,48
0,81,40,40,28,70,37,49,57
0,89,50,32,28,53,41,46,60
0,84,56,39,29,43,47,49,56
0,78,47,43,34,37,48,52,52
0,74,52,54,34,50,39,41,62
0,74,43,60,31,51,38,36,62
0,75,46,52,28,63,39,30,65
0,67,37,48,30,58,39,33,44
0,56,37,40,42,70,40,38,40
0,60,40,40,46,75,31,42,42
0,49,40,40,49,67,31,46,41
0,56,29,37,43,58,38,53,44
0,54,22,41,37,48,42,53,44
0,63,28,34,29,35,47,46,41
0,69,30,32,21,34,40,43,30
0,71,31,24,21,30,34,29,29
0,66,33,27,31,37,31,34,39
0,74,37,39,27,41,28,34,47
0,73,48,51,39,46,25,33,52
0,78,51,54,37,39,24,32,49
0,77,39,45,38,43,24,31,51
0,72,44,39,38,47,38,38,50
0,63,44,37,37,51,46,42,55
0,57,42,45,43,47,50,43,55
0,61,38,45,56,51,51,38,49
0,61,29,42,60,55,51,42,47
0,69,26,34,60,57,49,45,41
0,66,32,24,41,61,38,44,45
0,71,39,26,32,51,32,39,55
0,74,49,32,28,48,27,29,53
0,79,48,44,29,40,26,29,57
0,86,40,47,31,39,28,35,60
0,84,32,48,32,38,28,38,63
0,80,34,46,33,42,40,43,60
0,66,33,44,36,51,44,42,50
0,66,43,46,33,60,44,32,49
0,59,43,41,39,67,47,30,37
0,54,41,31,42,65,52,30,36
0,44,37,26,48,56,60,32,33
0,49,26,32,47,58,56,41,39
0,56,20,37,42,50,45,38,39
0,66,24,39,34,50,40,40,40
0,65,25,36,32,50,44,34,33
0,68,29,46,35,40,50,38,32
0,69,24,47,29,40,49,37,44
0,79,31,59,34,38,34,39,49
0,79,28,61,34,40,26,43,58
0,74,26,61,35,45,33,45,46
0,67,22,47,34,48,30,47,43
0,64,23,48,29,50,38,40,37
0,59,23,33,36,50,31,33,43
0,66,31,40,54,44,34,33,42
0,61,38,30,60,55,37,40,41
