SSC_mark,SSC_Smoothed_Filtered_right_TA,SSC_Smoothed_Filtered_right_RF,SSC_Smoothed_Filtered_right_VM,SSC_Smoothed_Filtered_right_MG,SSC_Smoothed_Filtered_left_TA,SSC_Smoothed_Filtered_left_RF,SSC_Smoothed_Filtered_left_VM,SSC_Smoothed_Filtered_left_MG
0,80,40,42,41,69,46,54,32
0,76,30,38,47,65,56,61,44
0,79,23,36,49,69,63,61,62
0,77,21,32,50,71,68,57,78
0,79,16,30,55,79,59,62,83
0,75,19,32,54,81,57,65,84
0,80,25,43,58,74,48,64,78
0,75,40,51,52,70,41,52,68
0,89,52,51,41,61,38,53,48
0,93,58,49,43,62,38,40,34
0,94,56,44,44,60,45,39,23
0,86,48,45,58,73,46,28,29
0,77,42,46,61,83,46,36,36
0,75,44,45,70,87,42,51,42
0,78,41,44,64,78,49,63,60
0,76,42,37,54,78,55,70,70
0,67,40,32,40,74,61,67,84
0,67,28,31,31,73,68,72,84
0,69,29,33,46,69,63,79,73
0,74,25,34,54,74,60,76,62
0,81,30,39,58,80,39,72,65
0,77,39,42,50,78,40,59,64
0,76,42,52,38,75,32,50,61
0,76,34,51,34,67,48,36,47
0,74,31,50,32,59,48,36,44
0,72,28,47,36,67,52,32,37
0,65,38,46,51,64,46,40,41
0,63,37,45,59,65,51,50,44
0,67,39,40,63,66,63,56,51
0,67,35,41,58,69,62,64,56
0,70,33,38,46,74,60,63,71
0,68,24,50,47,77,48,57,77
0,70,28,47,56,83,44,54,84
0,68,36,51,63,85,40,52,79
0,67,37,47,59,84,38,43,75
0,77,33,48,56,81,45,37,71
0,79,33,50,40,72,41,37,59
0,75,39,49,45,60,41,35,50
0,70,48,49,37,60,37,37,42
0,64,54,45,43,61,42,42,44
0,65,52,39,51,70,43,41,58
0,72,50,70,72,75,63,65,86
0,71,39,74,79,81,66,68,89
0,73,29,66,73,87,66,74,89
0,79,29,61,67,82,65,73,95
0,80,28,48,69,79,66,69,91
0,86,38,45,71,71,68,70,84
0,87,51,37,80,73,59,66,78
0,85,62,46,76,74,44,55,74
0,78,64,53,77,77,31,45,62
0,68,59,50,68,79,24,33,56
0,70,56,49,74,85,33,35,59
0,73,52,45,68,85,44,28,59
0,77,42,41,71,81,56,42,63
0,82,41,40,70,82,62,46,65
0,76,43,30,60,81,64,59,66
0,77,41,28,46,77,60,56,58
0,79,39,24,49,74,59,62,57
0,81,28,25,48,75,56,62,65
0,78,33,34,55,74,45,57,67
0,79,33,35,58,70,39,53,78
0,85,40,39,56,66,34,50,70
0,81,39,35,64,68,32,50,54
0,81,33,43,56,74,44,53,53
0,78,32,46,63,82,45,46,47
0,75,32,49,64,73,43,40,52
0,75,33,45,74,79,52,47,54
0,65,31,37,74,80,50,58,63
0,68,33,33,78,74,61,72,70
0,71,41,28,61,61,55,66,75
0,76,43,34,65,52,56,69,63
0,76,56,36,66,55,54,64,58
0,77,60,44,64,64,57,61,62
0,80,59,46,49,81,55,58,65
0,90,50,48,44,74,49,57,68
0,92,48,50,34,81,40,56,58
0,96,48,50,44,72,34,51,46
0,90,48,49,51,74,38,44,35
0,83,43,47,55,75,44,35,37
0,75,42,47,71,74,50,30,41
0,76,32,46,66,73,58,43,54
0,76,31,45,66,70,73,52,58
0,77,33,41,55,75,72,69,69
0,69,35,39,53,74,66,68,68
0,79,39,34,66,75,54,60,62
0,76,39,33,62,81,55,48,58
0,80,34,30,57,81,54,43,62
0,79,36,39,47,84,55,48,75
0,80,35,39,45,80,61,56,82
0,76,46,44,40,67,54,62,65
0,63,47,46,38,61,50,62,52
0,71,43,43,46,63,45,52,40
0,76,41,41,53,69,43,43,44
0,89,44,33,64,73,42,35,51
0,87,46,40,60,74,54,37,57
0,88,42,39,53,77,54,52,65
0,84,36,42,57,68,62,68,61
0,82,35,39,49,67,64,74,71
0,79,39,40,54,59,54,68,81
0,83,37,46,51,67,54,58,88
0,82,33,44,51,77,56,56,81
0,89,31,45,48,81,56,57,79
0,91,43,46,47,79,53,58,79
0,95,55,50,45,73,44,60,76
0,91,63,51,43,72,34,60,67
0,90,63,52,46,72,34,57,55
0,87,52,52,47,76,31,50,44
0,82,49,57,45,81,34,40,46
0,80,45,51,52,75,41,43,43
0,79,38,53,52,75,49,48,55
0,75,37,41,46,76,56,64,52
0,75,34,35,37,69,57,63,64
0,68,35,32,32,70,43,59,65
0,77,33,40,32,65,41,51,68
0,70,31,45,38,64,38,46,78
0,73,29,50,41,63,50,41,78
0,73,41,51,45,59,52,47,76
0,78,49,52,46,62,48,56,72
0,80,50,57,44,65,47,51,54
0,76,49,55,42,66,44,40,37
0,73,45,55,43,75,38,28,30
0,66,42,55,49,71,41,26,31
0,76,42,61,62,77,43,39,54
0,76,37,58,59,71,51,49,71
0,81,34,51,44,70,52,62,76
0,74,30,39,35,60,53,68,73
0,68,25,33,39,64,54,57,67
0,72,24,35,53,62,54,60,74
0,74,28,40,63,77,57,58,78
0,74,35,44,68,81,64,59,85
0,74,42,46,58,71,60,58,85
0,72,44,50,58,62,59,47,66
0,74,44,50,64,61,46,44,52
0,66,43,41,71,73,40,46,40
0,76,42,33,75,80,39,49,34
0,78,44,35,80,77,44,50,42
0,88,50,44,77,74,50,54,43
0,84,50,54,70,68,55,55,58
0,85,49,46,76,63,60,61,71
0,78,39,45,61,69,61,60,70
0,83,36,47,53,73,65,56,74
0,82,31,62,36,75,61,48,73
0,83,23,60,46,81,56,45,79
0,84,24,55,48,75,49,41,80
0,74,36,52,42,70,39,41,65
0,70,41,48,34,72,38,40,54
0,72,42,54,30,68,30,35,49
0,75,44,54,26,71,33,37,41
0,75,46,60,36,72,32,43,55
0,85,44,48,46,74,44,47,60
0,87,41,46,61,67,55,60,72
0,84,32,39,58,63,63,66,68
0,75,31,36,54,65,62,76,66
0,74,33,37,45,68,58,65,69
0,85,45,32,45,72,52,57,77
0,83,49,39,47,78,55,53,85
0,77,51,43,54,77,58,55,92
0,71,41,43,47,77,52,64,94
0,68,42,40,52,72,44,69,86
0,65,56,91,74,62,55,88,62
0,58,47,96,64,58,48,82,76
0,68,42,85,52,56,53,78,83
0,70,31,67,56,48,57,68,89
0,74,28,47,56,58,72,64,88
0,84,26,45,55,68,73,66,79
0,76,27,53,64,86,65,58,77
0,79,37,58,72,91,58,66,80
0,83,43,61,76,98,61,66,73
0,77,53,55,82,95,64,78,62
0,79,45,55,80,80,61,78,63
0,83,46,43,78,74,51,72,70
0,84,53,50,78,67,50,60,79
0,84,55,50,79,62,46,50,83
0,82,50,53,72,61,53,54,84
0,71,46,48,76,61,63,57,81
0,79,38,40,71,66,61,67,79
0,68,38,42,61,70,65,61,64
0,70,34,45,44,76,56,66,46
0,74,32,57,42,66,54,65,31
0,75,36,55,50,80,56,60,43
0,75,34,52,57,87,46,56,59
0,69,39,48,60,88,40,51,74
0,64,40,44,58,83,36,48,79
0,67,46,47,60,69,35,47,65
0,75,46,42,57,69,47,41,45
0,83,49,37,59,77,47,40,44
0,87,50,35,59,76,60,38,44
0,85,48,35,66,76,60,47,54
