RMS_Smoothed_Filtered_right_TA,RMS_Smoothed_Filtered_right_RF,RMS_Smoothed_Filtered_right_VM,RMS_Smoothed_Filtered_right_MG,RMS_Smoothed_Filtered_left_TA,RMS_Smoothed_Filtered_left_RF,RMS_Smoothed_Filtered_left_VM,RMS_Smoothed_Filtered_left_MG,MAV_mark,MAV_Smoothed_Filtered_right_TA,MAV_Smoothed_Filtered_right_RF,MAV_Smoothed_Filtered_right_VM,MAV_Smoothed_Filtered_right_MG,MAV_Smoothed_Filtered_left_TA,MAV_Smoothed_Filtered_left_RF,MAV_Smoothed_Filtered_left_VM,MAV_Smoothed_Filtered_left_MG,WL_mark,WL_Smoothed_Filtered_right_TA,WL_Smoothed_Filtered_right_RF,WL_Smoothed_Filtered_right_VM,WL_Smoothed_Filtered_right_MG,WL_Smoothed_Filtered_left_TA,WL_Smoothed_Filtered_left_RF,WL_Smoothed_Filtered_left_VM,WL_Smoothed_Filtered_left_MG,MNF_mark,MNF_Smoothed_Filtered_right_TA,MNF_Smoothed_Filtered_right_RF,MNF_Smoothed_Filtered_right_VM,MNF_Smoothed_Filtered_right_MG,MNF_Smoothed_Filtered_left_TA,MNF_Smoothed_Filtered_left_RF,MNF_Smoothed_Filtered_left_VM,MNF_Smoothed_Filtered_left_MG,Label
0.5037058917651162,0.4990455760999379,0.5867958461939685,0.5587632343243537,0.4965910324012912,0.5049840160087289,0.5338172286458502,0.5485318535505874,0.0,0.0474422433940924,0.0585705411260649,0.2354161234824849,0.295406365639272,0.371328993078091,0.1242097598842325,0.1409183136827847,0.5685409087427431,0.0,3.98757633161392,2.4339302935851928,13.525531423450488,11.743862710298258,10.50985026288664,2.9931238181381987,8.57452114689124,11.119174774746318,,63.83904283366456,48.79872293133576,44.81792746377919,42.86014135519775,61.933521337306246,30.312139137322163,40.30143596664121,48.24839346174204,0
0.5011015900914721,0.5082498749951847,0.5097187017915275,0.5160622187922815,0.4999151597770587,0.5231153951025874,0.5094116088037608,0.5193178127784793,0.0,0.0291204908420219,0.0504807988410646,0.1338736230739815,0.2569503525160015,0.1003177558676811,0.1020244777102678,0.1759141120341618,0.4128011719108556,0.0,4.204528354878496,2.999293104354204,4.82914970083414,10.064906864196372,2.6579591782668546,4.26147276013827,3.4514260054876,6.192506519190997,,45.87185851283658,29.59734607912708,41.58049422128383,51.85069109406668,40.74395477479547,26.142524086636,29.684339328189303,42.27968313545907,0
0.4965844529603098,0.5456113254385565,0.5017774178483462,0.486572416419931,0.5004236072704032,0.5263676275510978,0.4810160212987461,0.49690763934872,0.0,0.035630571465461,0.4627625229752459,0.0532599043260068,0.0496177779930113,0.0939285752277482,0.2597883805564551,0.0888536693620984,0.0536271620028603,0.0,2.208087958716929,5.369977791234422,2.328995069846026,0.5013165930388509,2.96200295332415,5.996811049745819,0.7798949755131799,2.1243900730745584,,40.324903280158175,25.58076118113004,32.25808213048299,57.19866635497483,48.5103291137026,36.68333013984618,32.75104743492838,44.57978698932401,1
0.503684660650096,0.5199937347712329,0.530930207130724,0.5105490509192016,0.5145140457679299,0.5088161985304169,0.5156167257485818,0.5253690075558588,0.0,0.0748595609378359,0.179680043641954,0.1323449524540426,0.0827375632701351,0.1570127302615039,0.1574028045280731,0.1095891064552213,0.2153737641864207,0.0,4.855398042482325,6.490498746528817,12.553259528598364,5.489420499077452,5.133786622811744,4.81311945990386,6.309925397185328,10.208122058428463,,47.75185295471573,40.54120272527197,62.32363284064811,45.78720747157568,29.21609339804758,33.904744202490846,45.025658635317264,71.34644462603985,0
0.5119384229570417,0.5229325861792978,0.5057649652564069,0.5201275456380879,0.5443414030683599,0.5199347407178305,0.5117129133539655,0.5426891595646974,0.0,0.0653509773500679,0.0780277846756345,0.0666019116663762,0.4356667465103606,0.8111013350881459,0.2111172323831997,0.6287177868329415,0.6018010066553676,0.0,9.404787187713296,6.320251469233952,2.293617286041038,9.99882417395593,8.454787997485164,6.439125624530351,8.036900341154798,10.242545401706224,,71.4653838938371,48.565656532068914,44.08188132148765,45.386326372511895,36.14402697048343,32.14712719497211,43.66043054899858,43.52450675712516,0
0.5103949549912263,0.5559217797174418,0.5135989982537256,0.4949163992419528,0.525795132579603,0.5021196759094401,0.5227036318373469,0.5060758502374774,0.0,0.0855324347043434,0.2929684113418019,3.935433133898576,0.048281433845719,0.1007346674693797,0.0416496777303215,0.0832597041621667,0.0989036760540597,0.0,8.765490141582745,7.957306335954711,7.331806924318356,1.566005380254448,8.551034712905334,0.335192707955546,6.718086234386679,3.722705124410776,,71.15739825933602,34.38073903579111,56.0871323447905,36.06986506606326,39.01404563416269,44.92810919703469,33.37235154182102,38.89233294988651,1
0.5260801476297225,0.5002862832606212,0.5010673279588588,0.5005984521148986,0.5178700254188942,0.5533771692797986,0.5051993445260483,0.5054595840935011,0.0,1.8111681281090737,0.1000686403296796,0.0243752934522319,0.0945517683208811,3.36561705122396,0.3187868438061226,0.1786725855184433,0.1830557589781383,0.0,4.34385148334685,0.3613653114325809,3.769857634579994,0.3403985051696152,6.977450407698002,8.212687898015883,0.6622889007649417,4.398659512124104,,41.07533694784199,39.85401918940026,54.35219820010391,32.515374286512234,43.09039937616062,24.824391256337,47.46650557603277,35.74917571570816,0
0.4973759553025337,0.513493862146515,0.5083750847845602,0.500668983218937,0.512165855676909,0.5248219194303142,0.538829107548341,0.5034787615942137,0.0,0.1843316898540029,0.0457749244500647,0.0205636837904768,0.5009342548758526,1.714041900262942,0.155997376269827,0.5624527510439878,0.1125490435414266,0.0,0.6111986723609358,5.78505662859116,8.588289104449059,1.672575287133289,5.847285827214057,8.769006239950212,6.862314609582402,3.3910910832939924,,61.21049829186215,31.52703403316532,60.06209312896258,58.37304532038576,26.571709955738346,34.83273367334734,51.88465012788993,66.69331386519086,1
0.5128170004686089,0.5073531863731147,0.5313630918169081,0.5088426501443268,0.5019074603134809,0.5109989301950258,0.5130719752001648,0.5074808783921737,0.0,0.0518737532260806,0.0286186058155889,0.0535126263046967,0.0529572603358437,0.116705572815641,0.0335043115335156,0.029047690315458,0.0295854880176962,0.0,12.533106904221611,3.162517318540313,7.1976705977105855,8.799557528024163,1.918624984899319,6.039702722884466,5.805281487658707,2.968467251272616,,65.01993641100314,34.06682077461446,29.664788972201737,72.39327038790279,64.44729079905771,61.06159143098341,38.994434082917245,39.10332714793055,0
0.508149908833252,0.5176463272304386,0.5047271396525886,0.4983628905741203,0.5014456478696997,0.5134541478636642,0.5020622638381744,0.5017185594765107,0.0,0.0467676896107896,0.2083080252432381,0.0344903678748435,0.0820032251546393,0.0872529573488906,0.1591219320011608,0.0813701382462652,0.1155965052017151,0.0,4.323633864350714,8.286504203452852,3.0500298762457385,1.5214522471229368,2.0333426194862274,7.260167551460752,3.306558812252236,1.4742362825370492,,73.2811915013522,44.7357146768765,32.58982442193894,52.152886532045486,92.40824128253786,44.76566665976284,48.62232177135173,64.62492648267273,1
