SSC_mark,SSC_Smoothed_Filtered_right_TA,SSC_Smoothed_Filtered_right_RF,SSC_Smoothed_Filtered_right_VM,SSC_Smoothed_Filtered_right_MG,SSC_Smoothed_Filtered_left_TA,SSC_Smoothed_Filtered_left_RF,SSC_Smoothed_Filtered_left_VM,SSC_Smoothed_Filtered_left_MG
0,81,66,76,74,83,85,80,81
0,84,62,74,77,83,69,73,83
0,79,65,79,78,80,49,64,76
0,84,70,75,77,81,27,61,73
0,79,73,82,67,82,29,57,54
0,79,82,76,74,76,37,68,43
0,71,80,78,73,74,49,69,39
0,69,62,70,80,80,52,65,50
0,68,54,69,82,81,58,60,63
0,65,47,64,63,81,60,62,71
0,76,54,61,48,66,53,66,78
0,84,57,54,39,72,46,73,72
0,84,61,51,42,80,49,65,80
0,82,60,53,64,76,57,63,83
0,80,65,65,77,69,58,59,79
0,85,56,73,91,61,50,52,68
0,75,56,68,78,70,50,41,53
0,68,53,70,67,81,55,48,50
0,65,52,61,65,73,58,50,44
0,68,54,64,77,71,58,61,48
0,72,41,52,85,68,58,58,55
0,62,40,38,85,74,57,61,59
0,60,37,33,75,79,58,62,68
0,53,39,30,76,67,59,63,74
0,66,41,40,63,62,61,71,75
0,68,41,41,59,61,62,77,80
0,79,42,56,51,72,62,71,80
0,79,41,66,62,63,55,62,81
0,79,36,69,61,58,43,44,73
0,86,32,61,65,64,45,42,56
0,89,38,59,73,74,47,40,42
0,92,41,57,77,83,57,44,32
0,87,55,64,78,80,51,43,42
0,82,62,74,80,70,61,42,52
0,70,58,68,75,70,74,49,59
0,64,60,75,63,71,70,48,61
0,66,49,63,59,62,51,45,62
0,68,39,50,45,54,41,41,68
0,77,39,43,48,59,44,39,62
0,91,35,49,42,55,54,52,65
0,97,34,59,48,59,56,57,66
0,92,27,64,47,44,57,62,66
0,82,30,72,45,41,57,70,58
0,83,29,68,55,46,59,64,42
0,77,35,66,61,51,64,52,35
0,70,47,72,79,66,60,43,34
0,49,54,73,83,65,64,49,37
0,29,56,67,99,69,61,52,45
0,30,52,49,92,63,63,63,53
0,33,48,32,66,66,69,65,55
0,39,42,21,49,59,69,65,64
0,42,42,19,28,50,70,68,66
0,41,39,26,33,48,69,67,66
0,47,42,33,43,52,60,59,73
0,48,45,51,46,56,60,61,74
0,62,59,61,56,57,60,53,80
0,67,56,69,53,49,56,57,62
0,60,56,73,57,55,50,42,49
0,45,40,71,54,65,50,35,35
0,37,44,64,55,72,56,34,34
0,36,49,66,62,75,58,44,37
0,34,52,56,72,75,65,51,32
0,30,48,54,68,75,74,55,37
0,34,49,45,67,72,80,52,46
0,31,54,46,44,64,74,60,63
0,33,47,51,33,62,77,59,69
0,34,41,46,33,55,79,56,70
0,34,32,53,36,62,81,53,76
0,35,36,53,45,62,81,59,71
0,44,42,55,51,58,72,61,67
0,56,48,58,59,57,65,57,50
0,75,46,52,82,55,54,44,37
0,83,39,55,81,65,46,54,38
0,81,39,48,86,69,47,46,44
0,73,42,48,83,78,56,51,45
0,68,53,49,86,78,65,54,64
0,59,48,48,84,77,62,53,69
0,49,44,47,75,76,52,61,73
0,53,42,45,56,66,49,54,64
0,57,42,44,48,55,45,55,66
0,69,43,42,50,61,46,56,69
0,78,40,36,43,72,53,55,82
0,77,34,49,45,85,65,57,83
0,84,42,56,56,72,54,62,78
0,89,39,69,68,52,52,65,69
0,91,49,68,77,49,45,53,51
0,92,41,61,65,65,43,56,41
0,93,41,55,65,70,45,38,39
0,84,41,34,59,76,41,48,45
0,79,41,36,76,69,56,53,49
0,72,36,41,68,68,61,57,52
0,73,32,42,60,67,59,58,59
0,73,37,34,38,57,62,45,66
0,76,42,32,40,47,63,40,78
0,76,42,34,39,36,70,37,81
0,80,37,35,38,50,70,42,80
0,87,42,51,36,64,72,54,69
0,94,47,54,48,66,60,54,70
0,94,49,60,56,59,59,54,51
0,80,51,53,74,53,65,55,47
0,68,57,59,71,65,63,48,38
0,55,54,57,80,80,51,50,38
0,48,56,62,88,88,45,52,48
0,60,56,69,97,87,47,64,52
0,56,44,66,93,75,53,65,58
0,47,38,52,79,69,67,71,58
0,32,27,38,67,54,65,63,53
0,31,21,40,55,58,67,65,62
0,41,27,46,50,60,58,56,60
0,59,22,54,46,78,58,53,70
0,62,28,66,46,81,58,53,72
0,78,36,67,60,81,49,42,73
0,74,40,66,70,66,50,49,70
0,69,41,65,74,62,48,48,52
0,60,42,60,69,66,45,56,46
0,55,39,58,67,80,37,49,45
0,65,52,55,83,86,41,58,39
0,68,45,59,90,82,46,65,55
