MNF_mark,MNF_Smoothed_Filtered_right_TA,MNF_Smoothed_Filtered_right_RF,MNF_Smoothed_Filtered_right_VM,MNF_Smoothed_Filtered_right_MG,MNF_Smoothed_Filtered_left_TA,MNF_Smoothed_Filtered_left_RF,MNF_Smoothed_Filtered_left_VM,MNF_Smoothed_Filtered_left_MG
,77.66524562199244,41.1747587077867,48.495081868448736,58.4614204009896,63.28201914005062,51.73532175086993,16.62526622827361,54.41157544588307
,68.0160912849294,50.14561828090301,66.72193853799003,39.74552778698684,70.67199751215092,45.21962682822289,26.047507980217258,62.36372349330929
,60.5367518629503,46.509096417841555,59.14207036870368,38.15190138108949,75.21025954887051,38.41024621424605,25.942663405801863,57.69887953231096
,60.121563838934364,48.265197712052874,54.18424804295863,53.61951150704257,81.394798307623,41.22551818502411,31.266309271652922,81.98348199052705
,59.286090561541926,72.07467030905751,50.85350413368743,39.717431167719155,70.52265754644068,38.7082162957779,24.043716275276275,63.285918798595695
,35.050397134677226,55.36581455406794,47.013261159965644,48.40064226054392,73.71993277198047,42.88911850173495,28.455388103781942,63.66445989092179
,41.522354329139006,48.730890509511234,49.495589662301,39.03480109676482,63.12798164851087,38.76718752443474,32.76213812058415,98.53312380744579
,40.27720174651749,46.01410099061028,44.555772283298964,36.621482964517824,80.37488245220676,42.117647472477856,31.836333368935755,63.75210604311901
,38.42350065884516,37.28565942923684,51.544915129409446,55.749338604317785,61.75939302671848,41.58596699746953,37.876351967989486,29.459469037624444
,53.57722485887768,48.95571643453753,68.04970241408316,60.06760807290157,64.18890898383582,50.57131329577352,36.80623436517504,30.93706259399882
,59.959071963347554,58.156097573749896,65.85936771225185,75.05310721627396,45.561335644568054,32.541341708316246,33.9498781070835,29.551847905012448
,59.942155157435074,55.63022903230311,65.35470459850148,59.15139880809047,73.84396712160544,31.859404258809437,31.272809607024637,41.99443118350987
,59.01794127461073,41.74313399306741,66.91203911210633,60.41785465833515,68.79394282026178,46.038901545180444,34.811590523835044,43.05710149577407
,48.74077152420611,35.320200059444346,72.6910918973708,38.28676950109737,64.76007433005257,53.0186489662166,41.88390926610935,37.29862277814278
,39.71739102097529,37.511675300496314,58.87941375360537,33.3601356655956,64.14229643346646,39.402840442305454,48.89611339532427,36.42510310901775
,74.99147134673974,36.79165303734533,56.92013190234555,39.97983495785235,50.991176258320586,31.108581954112214,54.159507890909524,46.439605310251544
,79.56788448902601,41.45689266050275,58.85126952646106,37.71342811976425,42.26946802913719,52.549615261872525,27.399002005513978,48.82086724473276
,66.52706118972502,34.65264076882043,38.86055312371454,43.14438728432624,40.542220447451065,41.906519725106456,25.198214136089273,67.69610957291873
,62.928546045168154,41.768419625838185,49.859921645104805,39.25440846275647,53.536734761757735,40.31162934296669,22.88623462946918,67.04958592227025
,65.53992261910845,44.834949072399176,56.74693320806764,31.77440244132692,52.09756200174113,40.49912378174749,22.233909134925852,55.21610492399469
,52.05824665479113,42.975547054375774,55.81287130371169,51.53602673035,32.26013963805312,51.331494412581335,58.16997134703636,38.87981433477947
,38.85697867003657,32.8345136519334,42.68850714097419,86.04067717284524,49.41001780214212,45.437691611039924,55.10282038248369,29.603471583718676
,41.64664831458143,35.240082125166886,40.93646316719322,73.2486953721253,48.53022398307798,33.651496696467674,53.8170305129203,39.0164133618907
,44.61475127429779,42.93696618788694,34.62544764981136,75.91269527649837,45.825329087021494,31.98234114075828,59.217258235885765,33.351038156327014
,41.878182548514786,41.033886605605424,51.960183052665265,93.68903248215379,50.91055243539256,46.30724978122977,50.269743008610945,28.443169755695227
,43.16539717244962,58.148945048018405,56.460329695498615,107.98205578784292,62.12495556614436,38.80899092697085,36.73058798542235,32.52334755971078
,28.617664263813626,59.73122902387253,58.14521525746452,90.9927882536631,64.86588801290999,50.59878426576434,38.891107575259326,43.98383447265007
,57.3614240105975,39.46646720679656,49.7109887696125,49.564329320012,50.85603340660867,50.378171748705114,57.294294085649256,48.060981711796195
,48.15441271575909,39.151429400235976,54.846774426221806,38.04595255533906,37.35110176003309,36.75023536021054,54.79973860677423,64.42793044074024
,51.01452323779615,36.60314591167967,47.906019737476264,36.49965454678688,35.01081439855825,28.912190409340827,39.70393235719122,44.28109136953348
