SSC_mark,SSC_Smoothed_Filtered_right_TA,SSC_Smoothed_Filtered_right_RF,SSC_Smoothed_Filtered_right_VM,SSC_Smoothed_Filtered_right_MG,SSC_Smoothed_Filtered_left_TA,SSC_Smoothed_Filtered_left_RF,SSC_Smoothed_Filtered_left_VM,SSC_Smoothed_Filtered_left_MG
0,76,60,76,91,83,79,81,55
0,82,69,80,84,80,71,77,61
0,86,72,79,76,78,65,74,69
0,90,59,76,75,85,62,60,63
0,91,52,78,80,87,52,42,68
0,96,52,82,89,86,54,36,63
0,101,70,86,77,75,43,38,51
0,93,78,86,75,62,56,46,53
0,85,79,80,78,64,65,56,58
0,70,68,68,78,65,69,69,75
0,76,62,63,63,74,65,62,85
0,75,48,48,55,64,51,47,82
0,82,39,46,40,60,47,43,78
0,76,36,41,36,67,49,37,78
0,87,38,37,40,65,52,56,67
0,91,46,44,51,63,47,68,61
0,90,43,60,60,50,45,62,53
0,91,45,59,68,52,44,52,44
0,82,44,62,63,67,40,42,34
0,92,50,69,56,67,43,37,25
0,91,57,72,54,73,38,43,30
0,97,66,88,46,64,40,45,41
0,90,63,73,64,71,45,50,40
0,74,57,62,69,73,50,60,47
0,79,54,48,67,70,47,65,55
0,67,49,38,50,56,48,61,67
0,73,39,32,38,38,53,53,68
0,64,31,33,30,39,54,49,68
0,70,28,39,30,41,61,46,64
0,71,33,58,38,44,57,59,59
0,81,38,65,42,45,55,56,54
0,86,53,80,54,46,52,54,43
0,85,56,76,69,58,49,43,28
0,76,51,71,57,67,42,45,33
0,63,45,70,56,72,47,47,32
0,66,51,72,59,79,41,60,35
0,57,55,67,75,85,44,63,35
0,63,52,56,72,85,44,64,40
0,55,48,50,66,77,38,65,54
0,44,47,49,48,72,52,57,53
0,54,44,48,45,67,58,49,61
0,40,38,45,42,74,58,46,53
0,62,36,44,41,78,56,49,64
0,63,35,42,42,81,53,44,64
0,69,36,49,37,83,54,39,67
0,72,34,58,36,75,44,37,52
0,54,38,65,36,73,44,43,39
0,48,43,64,44,73,45,54,38
0,43,47,61,52,71,44,58,46
0,43,50,55,74,74,42,55,55
0,49,53,48,73,83,32,54,65
0,60,51,44,75,74,32,60,63
0,63,42,35,73,66,46,61,66
0,65,37,44,58,48,54,55,69
0,68,31,51,63,47,55,47,66
0,74,30,68,53,46,56,46,60
0,80,30,72,58,49,46,44,55
0,86,31,78,52,45,51,45,56
0,86,40,73,58,53,52,47,55
0,83,42,62,56,69,49,47,45
0,78,58,53,52,83,51,42,35
0,73,60,41,49,87,49,43,39
0,76,71,54,60,82,51,52,38
0,80,59,59,77,74,62,59,38
0,64,48,63,80,74,51,66,46
0,50,42,53,67,73,39,66,54
0,43,42,46,60,66,34,59,62
0,44,36,37,47,58,31,56,63
0,58,28,43,51,61,44,46,69
0,69,28,45,44,58,48,46,69
0,72,23,56,54,58,50,50,80
0,84,26,59,55,58,50,45,67
0,92,35,73,58,61,48,45,60
0,96,47,65,62,60,46,38,41
0,95,61,63,69,59,50,37,41
0,80,64,60,63,67,48,41,47
0,72,71,63,63,75,48,46,54
0,64,59,64,65,93,44,58,48
0,58,54,54,64,94,41,70,44
0,57,44,52,63,87,42,72,48
0,57,50,49,52,73,38,59,60
0,63,50,50,50,63,34,44,59
0,67,53,49,55,66,37,32,62
0,79,49,41,45,71,50,38,63
0,82,40,55,52,66,55,44,70
0,83,32,51,48,60,60,48,70
0,69,29,47,53,55,60,47,67
0,64,26,46,64,58,58,42,52
0,56,39,47,65,63,53,48,41
0,56,38,52,63,62,39,41,40
0,65,45,53,65,66,34,46,39
0,78,36,57,78,70,47,48,46
0,72,36,58,85,73,58,56,45
0,76,37,52,76,65,61,61,51
0,60,38,48,55,57,58,56,58
0,62,41,48,51,57,52,46,64
0,57,41,63,53,56,52,43,68
0,70,39,57,52,71,50,42,63
0,73,32,59,50,61,52,48,61
0,79,29,57,55,56,46,45,65
0,78,37,52,56,49,46,36,51
0,84,39,44,62,38,39,35,49
0,88,47,50,58,47,49,27,38
0,82,53,58,53,44,50,25,45
0,78,65,65,53,56,48,40,45
0,82,66,67,62,61,53,52,48
0,75,63,51,72,62,50,65,57
0,79,59,48,71,66,51,52,69
0,63,44,46,55,70,48,54,72
0,53,42,49,48,77,50,54,73
0,51,34,51,40,88,49,59,69
0,59,35,55,43,80,46,56,72
0,71,40,56,47,70,53,46,78
0,73,40,58,52,51,47,41,76
0,77,45,58,52,49,44,43,63
0,62,50,64,57,60,37,49,44
0,40,39,72,55,81,45,48,36
0,28,37,74,62,82,49,44,32
